========= 0 ===============
random sharings generation
beaver triples generation
batch_size 1280
         8720994 function calls (8674429 primitive calls) in 37.734 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.003    0.002 /usr/src/HoneyBadgerMPC/honeybadgermpc/ipc.py:160(__aexit__)
        2    0.000    0.000    0.003    0.002 /opt/venv/lib/python3.7/site-packages/pycparser/c_parser.py:130(parse)
        2    0.000    0.000    0.003    0.002 /opt/venv/lib/python3.7/site-packages/pycparser/ply/yacc.py:323(parse)
        2    0.001    0.000    0.003    0.002 /opt/venv/lib/python3.7/site-packages/pycparser/ply/yacc.py:1001(parseopt_notrack)
       21    0.000    0.000    0.003    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/hbacss_beaver.py:160(_setup_rbc)
        2    0.000    0.000    0.003    0.002 /usr/src/HoneyBadgerMPC/honeybadgermpc/ipc.py:52(__aexit__)
        5    0.000    0.000    0.003    0.001 /usr/src/HoneyBadgerMPC/honeybadgermpc/broadcast/reliablebroadcast.py:223(decode_output)
      557    0.001    0.000    0.003    0.000 /usr/local/lib/python3.7/asyncio/base_events.py:678(call_soon)
       13    0.000    0.000    0.003    0.000 /opt/venv/lib/python3.7/site-packages/Crypto/Cipher/AES.py:78(_create_base_cipher)
     1369    0.001    0.000    0.003    0.000 /usr/local/lib/python3.7/asyncio/queues.py:61(_wakeup_next)
    12804    0.002    0.000    0.002    0.000 {method 'bit_length' of 'int' objects}
       22    0.000    0.000    0.002    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/utils/typecheck.py:251(checked_wrapper)
    12802    0.002    0.000    0.002    0.000 /usr/local/lib/python3.7/random.py:691(seed)
        3    0.000    0.000    0.002    0.001 /usr/local/lib/python3.7/logging/__init__.py:1496(_log)
        8    0.002    0.000    0.002    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/symmetric_crypto.py:16(pad)
        1    0.000    0.000    0.002    0.002 /usr/src/HoneyBadgerMPC/honeybadgermpc/poly_commit_const.py:254(gen_pc_const_crs)
       26    0.000    0.000    0.002    0.000 /opt/venv/lib/python3.7/site-packages/Crypto/Util/_raw_api.py:157(VoidPointer)
        3    0.000    0.000    0.002    0.001 /usr/local/lib/python3.7/logging/__init__.py:1521(handle)
        3    0.000    0.000    0.002    0.001 /usr/local/lib/python3.7/logging/__init__.py:1575(callHandlers)
       26    0.000    0.000    0.002    0.000 /opt/venv/lib/python3.7/site-packages/Crypto/Util/_raw_api.py:148(__init__)
        5    0.000    0.000    0.002    0.000 /usr/local/lib/python3.7/logging/__init__.py:892(handle)
        5    0.000    0.000    0.002    0.000 /usr/local/lib/python3.7/logging/__init__.py:1022(emit)
      557    0.001    0.000    0.002    0.000 /usr/local/lib/python3.7/asyncio/base_events.py:707(_call_soon)
        1    0.000    0.000    0.002    0.002 /opt/venv/lib/python3.7/site-packages/zmq/sugar/context.py:300(destroy)
  344/172    0.000    0.000    0.002    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/utils/misc.py:24(_send)
     3258    0.002    0.000    0.002    0.000 /usr/local/lib/python3.7/enum.py:526(__new__)
        3    0.000    0.000    0.002    0.001 /usr/local/lib/python3.7/logging/__init__.py:1123(emit)
      188    0.000    0.000    0.002    0.000 /opt/venv/lib/python3.7/site-packages/zmq/_future.py:667(_drop_io_state)
        4    0.000    0.000    0.002    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/hbacss_random_share.py:171(_setup_rbc)
        5    0.000    0.000    0.002    0.000 /usr/local/lib/python3.7/logging/__init__.py:1011(flush)
        7    0.000    0.000    0.002    0.000 /usr/local/lib/python3.7/logging/__init__.py:1373(info)
        5    0.002    0.000    0.002    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
      317    0.001    0.000    0.002    0.000 /usr/local/lib/python3.7/enum.py:830(__or__)
      140    0.001    0.000    0.002    0.000 /opt/venv/lib/python3.7/site-packages/zmq/sugar/attrsettr.py:42(__getattr__)
      172    0.000    0.000    0.002    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/ipc.py:41(send)
       17    0.000    0.000    0.002    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/hbacss.py:61(_send)
        1    0.002    0.002    0.002    0.002 /opt/venv/lib/python3.7/site-packages/zmq/sugar/context.py:254(term)
      675    0.001    0.000    0.001    0.000 /usr/local/lib/python3.7/asyncio/queues.py:176(get_nowait)
       51    0.000    0.000    0.001    0.000 /opt/venv/lib/python3.7/site-packages/zmq/_future.py:661(_add_io_state)
      408    0.000    0.000    0.001    0.000 /usr/local/lib/python3.7/typing.py:245(inner)
2851/2833    0.001    0.000    0.001    0.000 {built-in method builtins.isinstance}
       39    0.001    0.000    0.001    0.000 {built-in method _cffi_backend.newp}
        6    0.000    0.000    0.001    0.000 /opt/venv/lib/python3.7/site-packages/zmq/sugar/socket.py:178(__del__)
      239    0.000    0.000    0.001    0.000 /opt/venv/lib/python3.7/site-packages/zmq/_future.py:673(_update_handler)
       48    0.000    0.000    0.001    0.000 /opt/venv/lib/python3.7/site-packages/pycparser/c_lexer.py:75(token)
      246    0.000    0.000    0.001    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/ipc.py:45(recv)
      558    0.001    0.000    0.001    0.000 /usr/local/lib/python3.7/asyncio/events.py:39(__init__)
       48    0.000    0.000    0.001    0.000 /opt/venv/lib/python3.7/site-packages/pycparser/ply/lex.py:305(token)
        6    0.000    0.000    0.001    0.000 /opt/venv/lib/python3.7/site-packages/cffi/api.py:911(__getattr__)
       21    0.000    0.000    0.001    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/broadcast/avid.py:62(broadcast)
        6    0.000    0.000    0.001    0.000 /opt/venv/lib/python3.7/site-packages/cffi/api.py:900(make_accessor)
       44    0.000    0.000    0.001    0.000 /usr/local/lib/python3.7/inspect.py:3010(bind)
       52    0.000    0.000    0.001    0.000 /opt/venv/lib/python3.7/site-packages/zmq/_future.py:592(_handle_send)
        4    0.000    0.000    0.001    0.000 /opt/venv/lib/python3.7/site-packages/zmq/_future.py:240(close)
      279    0.000    0.000    0.001    0.000 /usr/local/lib/python3.7/asyncio/selector_events.py:547(_process_events)
       13    0.001    0.000    0.001    0.000 /usr/src/HoneyBadgerMPC/honeybadgermpc/betterpairing.py:80(__str__)
       44    0.001    0.000    0.001    0.000 /usr/local/lib/python3.7/inspect.py:2879(_bind)
        8    0.000    0.000    0.001    0.000 /opt/venv/lib/python3.7/site-packages/cffi/api.py:433(_get_cached_btype)
        1    0.000    0.000    0.001    0.001 /usr/local/lib/python3.7/logging/__init__.py:1726(info)
        1    0.000    0.000    0.001    0.001 /usr/local/lib/python3.7/logging/__init__.py:1761(log)
